id_Entry,coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_feels_like,main_pressure,main_humidity,main_temp_min,main_temp_max,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,visibility,rain_1h,rain_3h,snow_1h,snow_3h,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,data_entry_timestamp
10,-6.27,53.34,803,Clouds,broken clouds,04d,stations,12,7,987,87,11,14,,,7.2,250,12.9,75,10000,,,,,2/28/2020 14:52,1,1565,,IE,2/28/2020 7:16,2/28/2020 17:59,0,2964574,Dublin,200,2/28/2020 15:00
11,-6.27,53.34,803,Clouds,broken clouds,04d,stations,12,7,987,87,11,14,,,7.2,250,12.9,75,10000,,,,,2/28/2020 15:00,1,1565,,IE,2/28/2020 7:16,2/28/2020 17:59,0,2964574,Dublin,200,2/28/2020 15:10
12,-6.27,53.34,803,Clouds,broken clouds,04d,stations,11,6,987,87,11,12,,,7.2,250,12.9,75,10000,,,,,2/28/2020 15:13,1,1565,,IE,2/28/2020 7:16,2/28/2020 17:59,0,2964574,Dublin,200,2/28/2020 15:20
13,-6.27,53.34,803,Clouds,broken clouds,04d,stations,12,5,987,71,11,12,,,8.2,250,13.9,75,10000,,,,,2/28/2020 15:21,1,1565,,IE,2/28/2020 7:16,2/28/2020 17:59,0,2964574,Dublin,200,2/28/2020 15:30
14,-6.27,53.34,803,Clouds,broken clouds,04d,stations,12,5,987,71,11,12,,,8.2,250,13.9,75,10000,,,,,2/28/2020 15:34,1,1565,,IE,2/28/2020 7:16,2/28/2020 17:59,0,2964574,Dublin,200,2/28/2020 15:40
15,-6.27,53.34,803,Clouds,broken clouds,04d,stations,12,5,987,71,11,12,,,8.2,250,13.9,75,10000,,,,,2/28/2020 15:35,1,1565,,IE,2/28/2020 7:16,2/28/2020 17:59,0,2964574,Dublin,200,2/28/2020 15:50
16,-6.27,53.34,803,Clouds,broken clouds,04d,stations,12,7,987,71,11,13,,,6.2,250,13.4,75,10000,,,,,2/28/2020 15:50,1,1565,,IE,2/28/2020 7:16,2/28/2020 17:59,0,2964574,Dublin,200,2/28/2020 16:00
17,-6.27,53.34,803,Clouds,broken clouds,04d,stations,12,7,987,71,11,13,,,6.2,250,13.4,75,10000,,,,,2/28/2020 16:00,1,1565,,IE,2/28/2020 7:16,2/28/2020 17:59,0,2964574,Dublin,200,2/28/2020 16:10
18,-6.27,53.34,803,Clouds,broken clouds,04d,stations,12,7,987,71,11,13,,,6.2,250,13.4,75,10000,,,,,2/28/2020 16:05,1,1565,,IE,2/28/2020 7:16,2/28/2020 17:59,0,2964574,Dublin,200,2/28/2020 16:20
19,-6.27,53.34,803,Clouds,broken clouds,04d,stations,11,7,987,76,11,12,,,5.1,240,,75,10000,,,,,2/28/2020 16:25,1,1565,,IE,2/28/2020 7:16,2/28/2020 17:59,0,2964574,Dublin,200,2/28/2020 16:30
20,-6.27,53.34,803,Clouds,broken clouds,04d,stations,11,7,987,76,11,12,,,5.1,240,,75,10000,,,,,2/28/2020 16:39,1,1565,,IE,2/28/2020 7:16,2/28/2020 17:59,0,2964574,Dublin,200,2/28/2020 16:40
21,-6.27,53.34,803,Clouds,broken clouds,04d,stations,11,7,987,76,11,12,,,5.1,240,,75,10000,,,,,2/28/2020 16:46,1,1565,,IE,2/28/2020 7:16,2/28/2020 17:59,0,2964574,Dublin,200,2/28/2020 16:50
22,-6.27,53.34,803,Clouds,broken clouds,04d,stations,11,8,987,76,11,12,,,4.1,240,,75,10000,,,,,2/28/2020 16:56,1,1565,,IE,2/28/2020 7:16,2/28/2020 17:59,0,2964574,Dublin,200,2/28/2020 17:00
