number,contract_name,name,address,position_lat,position_lng,bonus,banking,data_entry_timestamp
2,dublin,BLESSINGTON STREET,Blessington Street,53.35677,-6.26814,0,1,2020-02-28 15:00:04
3,dublin,BOLTON STREET,Bolton Street,53.351181,-6.269859,0,0,2020-02-28 15:00:04
4,dublin,GREEK STREET,Greek Street,53.346874,-6.272976,0,0,2020-02-28 15:00:04
5,dublin,CHARLEMONT PLACE,Charlemont Street,53.330662,-6.260177,0,0,2020-02-28 15:00:04
6,dublin,CHRISTCHURCH PLACE,Christchurch Place,53.343369,-6.27012,0,0,2020-02-28 15:00:04
7,dublin,HIGH STREET,High Street,53.343567,-6.275071,0,1,2020-02-28 15:00:04
8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,53.347885,-6.248048,0,0,2020-02-28 15:00:04
9,dublin,EXCHEQUER STREET,Exchequer Street,53.343033,-6.263578,0,0,2020-02-28 15:00:04
10,dublin,DAME STREET,Dame Street,53.344006,-6.266802,0,1,2020-02-28 15:00:04
11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,53.334019,-6.258371,0,0,2020-02-28 15:00:04
12,dublin,ECCLES STREET,Eccles Street,53.359245,-6.269779,0,0,2020-02-28 15:00:04
13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,53.336075,-6.252825,0,0,2020-02-28 15:00:04
15,dublin,HARDWICKE STREET,Hardwicke Street,53.355473,-6.264423,0,0,2020-02-28 15:00:04
16,dublin,GEORGES QUAY,Georges Quay,53.347507,-6.252192,0,0,2020-02-28 15:00:04
17,dublin,GOLDEN LANE,Golden Lane,53.340801,-6.267732,0,0,2020-02-28 15:00:04
18,dublin,GRANTHAM STREET,Grantham Street,53.334122,-6.265436,0,1,2020-02-28 15:00:04
19,dublin,HERBERT PLACE,Herbert Place,53.334431,-6.245575,0,0,2020-02-28 15:00:04
21,dublin,LEINSTER STREET SOUTH,Leinster Street South,53.342178,-6.254485,0,0,2020-02-28 15:00:04
22,dublin,TOWNSEND STREET,Townsend Street,53.345921,-6.254614,0,0,2020-02-28 15:00:04
23,dublin,CUSTOM HOUSE,Custom House,53.348278,-6.254662,0,1,2020-02-28 15:00:04
24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,53.35215,-6.260533,0,0,2020-02-28 15:00:04
25,dublin,MERRION SQUARE EAST,Merrion Square East,53.339436,-6.246548,0,0,2020-02-28 15:00:04
26,dublin,MERRION SQUARE WEST,Merrion Square West,53.339764,-6.251988,0,1,2020-02-28 15:00:04
27,dublin,MOLESWORTH STREET,Molesworth Street,53.34129,-6.258117,0,0,2020-02-28 15:00:04
